Date,Open,High,Low,Close,Volume,Adj.Close
02-08-2010,60.64,62.99,58.05,59.11,22846100,54.09
01-07-2010,56.98,61.88,55.94,59.68,30611600,54.22
01-06-2010,60.38,64.5,56.92,57.07,38748500,51.85
03-05-2010,68.11,68.22,58.46,60.46,40034400,54.93
01-04-2010,67.27,70,66.85,67.77,27383200,61.16
01-03-2010,65.36,67.89,65.08,66.98,26307600,60.45
01-02-2010,65.77,67.23,63.56,65,29209100,58.66
04-01-2010,68.72,70.6,64.02,64.43,33544900,57.77
01-12-2009,76,76.3,67.64,68.19,30354400,61.14
02-11-2009,72.05,76.54,71.04,75.07,18893700,67.31
01-10-2009,68.39,75,66.11,71.67,24248100,63.89
01-09-2009,68.93,71.08,67.83,68.61,21252200,61.16
03-08-2009,70.96,71.89,66.09,69.15,22000100,61.64
01-07-2009,70.67,72.79,64.46,70.39,26744900,62.37
01-06-2009,70.46,74.83,68.08,69.91,28378500,61.94
01-05-2009,67.13,71.39,65.6,69.35,28182500,61.44
01-04-2009,67.04,71.15,64.5,66.67,31807000,58.72
02-03-2009,67,71.49,61.86,68.1,44298300,59.98
02-02-2009,76.06,80.5,67.9,67.9,44023900,59.8
02-01-2009,80.06,82.73,74.01,76.48,44802100,67.02
01-12-2008,77.89,83.64,72.68,79.83,46656300,69.96
03-11-2008,73.45,81.03,67.54,80.15,54003200,70.24
01-10-2008,77.19,81.75,56.51,74.12,62482300,64.58
02-09-2008,78.04,82,71.51,77.66,38705200,67.67
01-08-2008,80.55,81.5,76.14,80.01,26908400,69.71
01-07-2008,87.87,89.63,79.1,80.43,33014400,69.72
02-06-2008,88.09,90.5,84.77,88.13,28218100,76.4
01-05-2008,90.1,96.12,87.6,88.76,28713400,76.95
01-04-2008,84.8,94.93,84.26,93.07,23311500,80.32
03-03-2008,86.83,88.5,81.97,84.58,32253000,73
01-02-2008,87.7,90.17,80.36,87.01,25847200,75.09
02-01-2008,94.15,94.74,77.55,85.7,30841000,73.64
03-12-2007,88.97,95.1,87.71,93.69,20010700,80.51
01-11-2007,89.83,90.95,83.37,89.16,27396100,76.62
01-10-2007,92.45,95.27,89.67,91.99,23720000,78.74
04-09-2007,85.31,93.66,83.88,92.56,24540500,79.23
01-08-2007,84.99,87.9,78.76,85.73,30843200,73.38
02-07-2007,84.5,93.62,84.12,85.13,28263400,72.58
01-06-2007,83.56,86.58,80.85,83.88,25316000,71.52
01-05-2007,79.5,84.32,79.05,83.17,21117100,70.91
02-04-2007,75.35,80.88,75.28,79.38,23657200,67.39
01-03-2007,70.9,76.35,69.02,75.45,28874700,64.05
01-02-2007,74.58,76.1,71.18,71.68,24060100,60.85
03-01-2007,76.26,76.27,70.64,74.1,26449100,62.64
01-12-2006,76.78,79,74.82,76.63,19954400,64.78
01-11-2006,71.58,77.37,70.27,76.81,20701700,64.93
02-10-2006,67.29,72.33,64.84,71.42,21755300,60.11
01-09-2006,67.85,68.65,63.87,67.1,24726500,56.48
01-08-2006,67.24,71.22,67.01,67.67,22894000,56.96
03-07-2006,61.8,67.94,61.63,67.74,22007100,56.75
01-06-2006,60.4,62.65,56.64,61.35,24370100,51.4
01-05-2006,63.4,64.77,59.15,60.91,20876700,51.03
03-04-2006,61.36,65,60.43,63.08,19051100,52.58
01-03-2006,59.59,61.92,58.44,60.86,19242900,50.73
01-02-2006,62.77,63.08,58.6,59.37,20284700,49.49
03-01-2006,56.42,63.96,56.42,62.75,21662600,52.03
